year,country,FAO item,amount kg_pa
1965,Thailand,2618,8.5
1965,Thailand,2612,0.7
1965,Thailand,2613,0.3
1965,Thailand,2614,0
1965,Thailand,2616,0
1965,Thailand,2619,0
1965,Thailand,2761,2.5
1965,Thailand,2763,1.9
1965,Thailand,2762,0.4
1965,Thailand,2767,1.8
1965,Thailand,2765,1.6
1965,Thailand,2766,0.1
1965,Thailand,2775,0
1965,Thailand,2764,5.7
1965,Thailand,2769,0
1965,Thailand,2781,0
1965,Thailand,2782,0
1965,Thailand,2733,4.7
1965,Thailand,2734,4.1
1965,Thailand,2731,6.9
1965,Thailand,2735,0
1965,Thailand,2732,0
1965,Thailand,2736,1.2
1965,Thailand,2737,0.5
1965,Thailand,2848,2.9
1965,Thailand,2740,0
1965,Thailand,2743,0
1965,Thailand,2744,8.7
1965,Thailand,2542,7.3
1965,Thailand,2543,0.4
1965,Thailand,2536,24.9
1965,Thailand,2745,0
1965,Thailand,2541,0
1965,Thailand,2640,0
1965,Thailand,2641,1
1965,Thailand,2642,0
1965,Thailand,2645,0.2
1965,Thailand,2630,0.2
1965,Thailand,2633,0
1965,Thailand,2635,0.1
1965,Thailand,2656,0.5
1965,Thailand,2655,0
1965,Thailand,2657,0
1965,Thailand,2658,1.1
1965,Japan,2511,37
1965,Japan,2805,107.2
1965,Japan,2514,2
1965,Japan,2517,0.2
1965,Japan,2518,0
1965,Japan,2520,0.3
1965,Japan,2513,6.5
1965,Japan,2516,0.1
1965,Japan,2515,0.2
1965,Japan,2531,28
1965,Japan,2533,30.6
1965,Japan,2532,0
1965,Japan,2534,4.7
1965,Japan,2535,0.6
1965,Japan,2549,0.5
1965,Japan,2555,6.9
1965,Japan,2546,3
1965,Japan,2547,0.3
1965,Japan,2551,0.4
1965,Japan,2556,0.9
1965,Japan,2560,0
1965,Japan,2563,0
1965,Japan,2558,0
1965,Japan,2561,0.2
1965,Japan,2557,0
1965,Japan,2570,0
1965,Japan,2562,0
1965,Japan,2571,2.1
1965,Japan,2574,1
1965,Japan,2580,0
1965,Japan,2573,0
1965,Japan,2577,0
1965,Japan,2582,0.1
1965,Japan,2572,0.1
1965,Japan,2578,0.2
1965,Japan,2575,0.2
1965,Japan,2586,0.4
1965,Japan,2581,0.5
1965,Japan,2576,0.1
1965,Japan,2579,0
1965,Japan,2605,106.4
1965,Japan,2601,4.7
1965,Japan,2602,8.5
1965,Japan,2625,9.3
1965,Japan,2611,12.3
1965,Japan,2617,10.3
1965,Japan,2615,3.1
1965,Japan,2620,2.4
1965,Japan,2618,0.8
1965,Japan,2612,0.2
1965,Japan,2613,0
1965,Japan,2614,0.6
1965,Japan,2616,0
1965,Japan,2619,0.1
1965,Japan,2761,1.4
1965,Japan,2763,21.4
1965,Japan,2762,14.4
1965,Japan,2767,2.5
1965,Japan,2765,1.1
1965,Japan,2766,6
1965,Japan,2775,1.3
1965,Japan,2764,4.8
1965,Japan,2769,0.3
1965,Japan,2781,0.3
1965,Japan,2782,0.1
1965,Japan,2733,4.1
1965,Japan,2734,2.1
1965,Japan,2731,2.3
1965,Japan,2735,2.4
1965,Japan,2732,0.6
1965,Japan,2736,0.9
1965,Japan,2737,1.3
1965,Japan,2848,38.5
1965,Japan,2740,0.3
1965,Japan,2743,0
1965,Japan,2744,13.1
1965,Japan,2542,19.9
1965,Japan,2543,2.3
1965,Japan,2536,0
1965,Japan,2745,0.1
1965,Japan,2541,0.2
1965,Japan,2640,0
1965,Japan,2641,0
1965,Japan,2642,0
1965,Japan,2645,0
1965,Japan,2630,0.3
1965,Japan,2633,0.3
1965,Japan,2635,0.8
1965,Japan,2656,20.6
1965,Japan,2655,0.1
1965,Japan,2657,11.2
1965,Japan,2658,3.6
1965,France,2511,115.56
